id,review,helpfulness
13,"For those who cannot go to sleep without a glass of chocolate milk before going to bed(chocolate milk was my drug of choice), this is the answer!<br />Years of drinking chocolate milk before going to bed will do nothing but increase your cholesterol and make you obese.<br />Carob has no sugar. Mix several teaspoons in a glass of Vanilla Soymilk, then add chocolate flavor Stevia sweetener.  You will have a chocolate drink which tastes even better than the real thing, with no sugar, and no cholesterol! Try it!",1
14,"We bought this product because it celarly stated that is was MADE IN THE USA.  When the product arrived, it was clearly labeled MADE IN CHINA.  This is beyond misleading - it is fraud.  I will not be purchasing Smokehouse products again.",1
15,"1.0 out of 5 stars Dangerous and Deadly, May 25, 2006<br /><br />I have two beagles who love to chew, and greenies are highly compressed which woule make it a good optionfor my dogs. However because they are so highly compressed they are deadly. There is an overwhelming amount of research that proves they are not digestible, and do not break down. Numerous dogs have died from chocking and internal blockages. Luckily this was brought to my attention before I purchased any.<br /><br />It really doesn't matter how much your dogs like them, statistically you dog would have an excellent chance of becoming seriously injured or worse.<br /><br />If keeping your dog busy is the goal try a kong or a ""busy ball"". My dogs play with their kong and similar toys for hours or until they are too tired to play anymore. Additionally some busy balls let you record a message that is played when the ball is moved, even slightly, which also helps with separation anxiety.<br /><br />If you want to treat your dog to something in the way of food, almost anything you can think of is safer than a greenie.<br /><br />Also please note....there are many greenie knockoffs. If the treat is shaped and molded or looks like plastic, has fine details showing the company name or other designs, it is in fact a molded treat. Anything this highly compressed is absolutely deadly.<br /><br />While even rawhide carries some of the same risks because it is so durable...it is a MUCH safer alternative to greenies.<br /><br />I am actually surprised amazon even sells this product, and would go as far as suggesting to amazon users to petition them to stop selling it.",0
16,"I just received these 'k-cups' a few days ago. I ordered them on subscribe and save because of the value. I failed to read all reviews, just a few to make sure they were good. When I opened the package, I thought I was sent a wrong item...until I realized these are k-cups, but not the usual looking ones. They are foil sealed with a plastic ring around the top, and the rest of it is a filter. When placed in the brewer, just a hole gets punched on the top, not bottom. Something new perhaps? I tried a cup and I admit, it was very good coffee, full flavor. I will purchase these again and do recommend them. These do arrive in a shipping box, but the k-cups are sealed in plastic bags.",1
17,Bought it for the ice cream maker which did not make ice cream since then sitting in the fridge.,0
18,"These butter waffles are very tasty- very light, yet rich and buttery.  They're hard to resist, couldn't help but eat a whole box.<br /><br />Only downside is that it uses vanillin, rather than real vanilla.  However, it goes great with ice cream and fruits!",1
19,"Dog food has changed ALOT over the past few years.  As pet owners were willing to spend more money feeding their pets, larger corporations bought out the smaller dog food companies and changed the ingredients without notifying the customers.  This was particularly true of the more expensive brands that contained the higher quality ingredients.  Real meat and rice were substituted with ""meat by-product"" and cheap imported grains (particularly CORN) that were determined to be ""unfit for human consumption"".  They are taking ingredients that used to be considered ""waste"" and packaging it up as ""healthy & nutritious"" food for your beloved pet. Our once healthy pets are contracting debilitating diseases and dying because of the toxic waste materials that are currently being marketed as pet food.<br /><br />Blue Buffalo is one of the few remaining companies that, at least to my knowledge, has not ""sold-out"" yet.  The food really is nutritious and still contains real meat with no by-products, fillers, corn or soy.  We switched our dogs over this past summer after having lost one to an autopsy/toxicology verified case of ""aflatoxin poisoning"" from the ""healthy & nutritious"" dog food we were buying and feeding him.  This was NOT cheap food folks.  This was a well-known brand, highly marketed as ""Natural"", that we were paying $60/bag for.  The FDA analysis of this food verified that it contained toxins, but NOTHING was done to the dog food manufacturer.  They are still producing their ""high priced waste"" and heavily marketing it as ""natural"".<br /><br />My advice to pet owners: Read the ingredients labels thoroughly and often!  Blue Buffalo a great product that you can still feed your pets with confidence.  Because it doesn't contain any cheap fillers, it's more satisfying to your dog so you don't need to feed as much of it thus making it still relatively economical. Don't wait until it's too late for your beloved pet.",1
20,"I purchased 2 Aerogrow units--one worked, one didn't. The 800 Aerogrow service number does not respond after many tries. no email response. Amazon of no value in my problem---just try their circular system which leads no where---I guess I'll stick to books---if I ordered this item from a calalog I'd have recourse---thru Amazon I have none.rMaho gardener",1
21,"Here's a review by someone who is not fat, not on a diet, and who has not ruined his palate with fat free confections:<br /><br />These are the worst brownies I have ever tasted!  My wife bought this mix because it was the only one available at Trader Joe's when she shopped.  She didn't tell me they were fat free, but as soon as I tried one, I knew.  It had all the hallmarks of fat-free baked goods - gummy, flat, and the chocolate tasted like cocoa powder, not like rich fudgy chocolate.  I almost had to spit it out, it was that awful.<br /><br />And do you want to know why fat free foods taste so bad?  I'll let you in on a little secret:  the secret ingredient in good-tasting food is... you guessed it - FAT!!!!!  Fat and oil molecules transport the lovely taste of foods onto your taste buds.  So stop being so afraid of fat!  A little bit won't kill you!  Just exercise a little self-control and don't eat the entire box.  One properly made brownie is more satisfying than a whole plate of these vile things.<br /><br />So if you like real food that tastes good, don't believe the reviewers that raved about these brownies.  These people have a hidden agenda - they are trying to convince themselves that these little nuggets of evil actually taste good and are good for them.",0
22,i just got it and it is old and does not worth it...the taste is not as good either i did not get it why they get so many 5 stars rating......................it is the worse product i have ever bought from online ever<br />do not waste your money... some people compare this with grocery stores dried cherries ..... funny.... this product sucks big big time,0
23,These are made in china...not a good idea at all considering all the food saftey issues of late. also i feel that it is wrong to buy food/agricultural products from another country (a politically hostile one at that) when our own poor farmers are having such a rough time making ends meet because all their work has been outsourced to these unsafe chinese farms. there are many much safer and ethically sound alternatives to these snacks.,0
24,"Thought that there was a seal on the top of this bottle after I opened the tab on the flip top. After taking the cap off entirely, the problem was obvious...instead of coconut oil, I had one large white clump.  No oil, just a clump.  So unlike the quality that I am use to with Amazon orders.",0
25,"Shortly after I wrote my first review I received a phone call from D.J. at E-Pets Galore.  We had, what I thought, was a very pleasant conversation.  She apologized that I did not receive the correct items I had ordered.  D.J. told me that I would receive the items I had originally ordered at the latest by the end of the following week after our conversation.  She explained to me that it would not be worth it to send back the items I received in error.  I told her I would donate them to a local Animal Rescue compliments of E-Pets Galore.  Which I did.  I was very happy that D.J. had taken the time to contact me.  Our conversation had gone so well that I had decided I would do business with E Pets Galore in the future. I trusted her words.  I told D.J. that I would edit my orignal review at amazon once I received the correct items.<br /><br />It is now 2 1/2 weeks later and I still have not received the items that I had originally ordered and that D.J said I would receive by at the latest the end of last week, April 3, 2009.  I have left two messages for her and have not received a return call.<br /><br />Since I have already donated the 25 items to a local Animal Rescue, based on trusting and believing what D.J. said, I have financially lost $91.49.  The one positive from this awful experience with E-Pets Galore, is that some Animals in need will have some treats that otherwise they would not have had.<br /><br />I am very sad that this experience has turned out this way,<br />Fran B.",0
26,"This review is for French roast<br /><br />With a pinch of dark brown sugar make it tastes the way i like.<br />This Kcup is lighter than regular brand only 11g(others 14-16g)Made with thin plastic cup & foil.<br />The label is cute, bold enough for me & cheaper than others brand.",1
27,"Because this litter is a wheat product, it attracts meal bugs. My bag actually came with the bugs in it - when I opened the bag, left it in the bathroom, and came back a few hours later, the bugs were crawling out of the bag and up the wall. I have done everything to eliminate the bugs. Naturally I disposed of every crumb of Swheat Scoop. But once you have these in your house, it is very difficult to get rid of them permanently, due to the life cycle of meal bugs. You think you've eliminated them, and then a few months later, they're back. Do not buy this product, even if you think it works great as a cat litter. You run the risk of being plagued by bugs forever.",1
28,"I only used two maybe three tea bags and got pregnant - can not drink during pregnancy.  Not a bad taste, but I'm not a big tea fan either.",0
29,It's small and granular and makes your bread rise. There's quite a lot of it here too. I'm not sure how I'm ever going to use it all up making two loaves of bread a week.,0
30,"I do not understand the people who say that they cook with this product. It has a strong coconut flavor and aroma that would only be good for deserts, if you want that. I tried it in split pea soup that has a pretty strong aroma of its own, and found it quite unworkable.  Also, coconut ""oil"" is one of the most saturated fats in nature, so I'd rather just use butter for most things since it is not nearly as saturated.  Yes, it may not contain trans fat, but that's about all that you can say for it.<br /><br />You cannot ""eat it out of the jar"" as someone avered because it is so saturated at outside air temperatures that it is rock-hard. It may possibly work for psoriasis or as a hand cream, but remember that your body will smell strongly like coconut if you use it as a salve.  I'm pretty skeptical right now, but I have two jars so I am trying some non-culinary things to use it up.",0
31,"The wet dough sourdough product is excellent.  Upon feeding and expanding it woke up very quickly and leavened loafs extremely well.  Lots of classic sourdough taste and lots of gas production. But as a university microbiologist, I can't just try out a sourdough starter. I had to take it to the lab and find out what's in it.  I am happy to report that the starter contains precisely what it should: one species of yeast and one species of lactic acid bacteria. It is a complex task to definitively identify them as the authentic Saccharomyces exiguus and Lactobacillus sanfranciscensis, but everything is consistent so far with them being derived from authentic San Francisco sourdough.  In particular, as one subcultures them repeatedly, the levels of each stay pretty consistent.  This is a hallmark of an authentic sourdough starter pair of microbes. I highly recommend this product.",1
32,"Initially I was a fan of Starbucks VIA Iced Coffee. It's convenient, it's tasty, and it's an affordable alternative to an in-store iced coffee. However after taking the product home, I was shocked to discover just how much sugar it contains. The first thing you notice when emptying the packet into a cup is the huge amount of white granules staring back at you.<br /><br />Each VIA packet contains 22g of sugar, and just 4.6g of coffee! This is the equivalent of SIX packets of sugar! Starbucks says each VIA is two servings, meaning 11g of sugar each, but you're likely to have the whole thing (14-16oz with water) in one sitting. That's 100 empty Calories (more if you're adding cream).<br /><br />PROS: Quick, tasty.<br />CONS: Too much sugar, slightly bitter/burnt taste.<br /><br />NEEDS IMPROVEMENT: Starbucks needs to either cut the sugar content in half, or make a ""light"" version using Splenda or Stevia as a sweetener.",1
33,"I paid over $13.00 for ""expedited"" delivery and the product still took FIVE days to arrive. Would not buy from them again.",0
34,"I bought these for my 3 month-old lab. I also bought some other treats (dehydrated liver, Kong biscuits, bully sticks). 1-2 days after feeding these to my lab she got violently ill -- vomiting and diarrhea. Took her to the vet and after an overnight stay and IV fluids, the vet had no idea what it was. They decided to x-ray her to see if something was blocking her intestines. Nothing. After antibiotics and rest she was back to her normal high energetic self. I gave her more of these sweet potato fries about a week after her first sickness episode.... and 24 hrs later she was vomiting again.  I was worried, but figured that it must be something I was feeding her. I then examined the package and saw these are made in China.  I threw them out and my puppy has been fine since. Logic points to these treats.... I will no longer buy food items for my dog from China. Nobody else has posted anything about ill reactions to these treats, but search around, lots of dog treats from China are making our dogs sick.",1
35,"<span class=""tiny""> Length:: 1:39 Mins<br /><br /></span>(* this review was originally posted for the 3 oz size, a verified purchase by me on Amazon)<br /><br />I purchased three well reviewed brands of catnip for Tristan, my six month old Savannah cat. In the video, I have just placed down three plates of catnip from freshly opened packages. The brands from left to right are <a href=""http://www.amazon.com/gp/product/B00028HN5A"">Sojos Certified Organic Catnip</a>, in the middle is the product in this listing - Cosmic Catnip (this video review shows the 3oz jar), and on the far right we have <a href=""http://www.amazon.com/gp/product/B001VNEII0"">Frontier Catnip Leaf & Flower C/s Certified Organic, 16 Ounce Bag</a>.<br /><br />Like the little bear at Goldilock's table, Tristan tries a bit from each plate; at the end of this clip he seemed to have no *overwhelming* preference for any particular brand though. As far as his physical reactions to each (sampled separately), he did not act ""stoned"" nor hyper, he merely scratches on his scratch pad a bit more with catnip than without catnip and gives himself a good stretch. He also strongly prefers catnip infused mice to non-catnip mice and I'm happy to oblige.<br /><br />As as far which *I* prefer, if it's all the same to the cat (and it seems that it is) here's my take on things -<br /><br />The Frontier brand is by far the least expensive at just under fifteen dollars for 16oz. It is slightly more coarse and seems to have a little bit of stems mixed in. VERY fragrant though and turned out to be a close second favorite of the cat reviewing the products. I would definitely buy the Frontier brand again and use it for stuffing toys generously or for ""marinating"" his little cloth mice. Organic and suitable even for human consumption if you like it as a tea.<br /><br />The Sojos brand (1oz can) is the most expensive - by my calculations comes to over a hundred dollars for 16oz!. The description says it produces a ""harmless, euphoric state"" but we saw no evidence of that. Smelled fresh but definitely a milder aroma than the other two brands; had the finest chopped leaves of the three. Hand harvested if that is important you or your cat.<br /><br />With the Cosmic Cat brand, we *may* have a winner.....<br /><br />When the camera was off, Tristan returned to the Cosmic Cat sample several times more so than the other brands. I repeated this little taste test for the next two days and Cosmic Cat had a small but definite edge over the competition. I'd have to say that I agree with his choice; the Cosmic Cat brand leaves are darker and more fragrant than the other two brands. The leaves are also cut just right - not too fine/not too large, and no stems or coarse pieces. I find the Cosmic Cat brand's price reasonable, the storage container is very convenient, and the 3oz* size is enough not to be too little and not so much to get stale and spoil.<br /><br />Hope you find this information useful in choosing for your own cat or kitten.",1
36,I enjoy Starbuck's version w/melon flavor in latte and frapuccino. At home I just blend mine with vanilla soy milk which I think tastes awesome.,1
37,Not at all as wonderful as described in the literature  Mahota's blood sugar shot up after she ate the whole box at one sitting.  She says she still thinks they say it has insulin in it.  The advertising is not too clear.,0
38,"Coombs family must be big, as the label says ""product of Canada and USA""  If I wanted unbranded Canadian syrup, I would have asked for it.",0
39,"Can you stand a differing opinion?  Please read this.<br /><br />Recently, I bought the box of 24 of this product.  I thought it might be good food to have in case of emergency.  However, this is the first time I've bought something on Amazon that had universal praise, but I disagree with it.  I am wondering what kind of Italian food these people are used to?  Do they actually know how Italian sauce is supposed to taste?  Because this is not tasty!  Actually, I found it rather yucky, and three other members of my family confirmed the same result.<br /><br />I followed the directions & made this exactly as was stated on the box.  The sauce you end up with has an undefinable, very strong taste to it.  Looking at the ingredients on the side of the box, it just lists ""spices"" so I don't know what that bad taste is really coming from.<br /><br />Also, the Kraft brand spaghetti is not very good quality.  The only good thing about it is that you don't have to snap it to make it fit in the pot.  Other than that, the spaghetti is tasteless, fat, limp and bland.  Thank goodness there is not very much of that spaghetti (it only serves 4 from the box).<br /><br />On top of not liking this product, I found that the actual components are overpriced.  You should just buy some excellent pasta, such as Barilla spaghetti that doesn't cost very much and makes alot more servings.  Add to that any jar of pre-made sauce.  In a side by side taste test, I bet the Barilla+jarred sauce would taste way better.<br /><br />For now, I'm going to use up the awful Kraft noodles as well as I can, and chuck the ""flavor"" packets into the garbage.",0
40,"This cider has a very nice and sweet taste. While I highly recommend the cider, the vendor currently offering it through Amazon has it priced at roughly double the price that Amazon typically offers kcups.",1
41,"ordered this - upon delivery it was melted in/all over the box, even outside of the plastic bag it was sealed into.<br /> (unsure of how a sealed product could have leaked out of its container when it was sealed under the lid)<br /><br />felt like it wasn't sealed well enough to have been safe or healthy to use.<br />no expiration date either.",0
42,"I paid over $13.00 for ""expedited"" delivery and the product still took FIVE days to arrive. Would not buy from them again.",0
43,"I love this film.  Barbara and Adam Maitland, a young couple madly in love (played by Geena Davis and Alec Baldwin) discover that they are not only dead but trapped in their home as ghosts waiting for the bureaucracy of the afterlife to set them free.  When a New York couple (Catherine O'Hara and Jeffrey Jones) and their teenage daughter Lydia (wonderfully macabre Winona Ryder) move into their beloved house, the Maitlands want nothing more than to remove them.  The problem is, the Maitlands are too nice to truly scare anyone.  They meet a rogue ghost, the ribald, disgusting Beetlejuice (Michael Keaton) who promises to drive the family away, with a few strings attached.  Lydia, whose goals aren't that far from the Maitlands and who has a morbid, poignantly sad outlook, discovers the ghosts and tries to help them.  But Beetlejuice has his own agenda.<br /><br />The casting for this movie is perfect, with only Alec Baldwin's performance less than memorable.  Michael Keaton is suitably slimy and decadent, while Geena Davis plays the earnest innocence of her character equally well.  The most startling performance is a young Winona Ryder, who shows tremendous range in her role as the morbid but good-hearted Lydia.<br /><br />One of the most hilarious, dark scenes ever filmed is contained in this movie, when the New York couple throws a pretentious dinner party and the Maitlands take over. Director Tim Burton uses sight gags, situational comedy, and one-liners that all bear his trademark quirkiness to make this film inventive and, even years after its release, fresh.  What's most amazing in this film essentially about the weirdness of being dead is the emotional drive of it.  The Maitlands' yearning to reclaim their home even in death and Lydia's wounded, lonely adolescence lend humanity to an otherwise wild comedy.<br /><br />I highly recommend this off-beat film for its hilarity and irreverence.  Parents of young children should be warned that the film contains off-color humor as well as images and ideas that might disturb young minds. -- Debbie Lee Wesselmann",1
44,"I've been buying dried blueberries from the grocery store for ages, and struggled everytime I had to buy a tiny bag that only lasted 2 days. I went online to see if I could find them in bulk, and low and behold...! I use these on everything: Spinach salads, cereal, yogurt, trail mix, even just to snack on plain. These blueberries are acutally better than the ones I was buying before, because they don't have High Fructose Corn Syrup. Sugar is actually healthier and tastes better. I will buy these again and again.",1
45,"I'm a former Marine, got out after 8 years, did two tours in Iraq and one in Afghanistan. I was first introduced to beef jerky during MCT (Marine Combat Training)...which is where you learn warfighting techniques. For those LONG, sweaty, depressingly hot days in NC...this was an excellent snack. Beef Jerky is nutritious, low in fat content and tastes great! It also is a great chewy snack for those 'hurry-up-and-wait' days. Perhaps the biggest benefit for me was the salt....if you're out in the sun all day, you lose a lot of sweat....the Marine Corps motto should be 'drink water'...but as for electrolytes/ salt....this snack does an excellent job. I love the peppered taste...probably because I'm Jamaican. The 1.5-ounce snack size fits perfectly in your pocket and works out to be about half the price you'd pay at the gas station (thanks Amazon). I have a couple of buddies over in Afghanistan and I sent each two packs....for them and to pass around to their troops...they love it.<br />For a healthy snack (especially if you're very active and sweat a lot)this is a great product.<br />If there was one complaint....I wish the desiccant that is inside every bag was somehow shaped differently.....if you grab a handful in the bottom...you'll never know that you grabbed the desiccant too....luckily I've been able to catch it!",1
46,"I paid over $13.00 for ""expedited"" delivery and the product still took FIVE days to arrive. Would not buy from them again.",0
47,"Business opportunity alert, steel cut oats is not distributed outside the USA and Canada via Amazon at this time, so a company that can distribute steel cut oats outside the USA and Canada would get the international business.",0
48,"I spent a lot of time trying to decide on a variety sampler pack of K-cups.  Reading the description of this set, I was excited to order, since there were so many flavors that I hadn't tried before.  If you read the list of flavors, it sounds great!  But...the bag I received was really lacking in excitement.  I understand that they couldn't include everything listed and that the collection might vary somewhat.  But there were NONE of the following from their list:  Rain Forest Nut, Pumpkin Spice, Mocha Nut Fudge, Island Coconut, Caramel Vanilla Creme, Mudslide, Chocolate Raspberry Truffle, Vanilla Cupcake, Pecan Praline.  Of ALL of those flavors, I would have thought ONE of them would show up.  I received SEVEN of one kind, Jamaican Me Crazy.  So, that's more than a quarter of the sampler being the very same kind.  I wish more care was taken to pack the K-cups with more thought for the customer.  I am not one of those grouchy reviewers who is never pleased with anything.  But, sadly, I was disappointed in this purchase.",1
49,"I would exercise extreme caution with this tea.  I used to drink one cup of China Green Tips Tea in very clean water per day.  After 6 months, it had toyed a great deal with my endocrine system.<br />The toxic limit of fluoride is 1 mg per liter, and this tea exceeds 8.<br />The toxic levels of fluoride is a product of the adulturated land and water of China.  As a note, don't buy ANYTHING from China if you value your health!",0
50,"Only buy this if you like the taste of chinese tea. Actually, if you like chinese tea, you can buy it a lot cheaper than this. Way overpriced for what you get. It does not taste like American tea, if that is what you are seeking, choose another brand. The ""flowering"" effect is not that dramatic or pretty. And to taste llike full brewed tea, you can only use each one once.",0
51,"This is a great product, that is really delicious. It works in a variety of recipes, and is a great healthy alternative for chicken chunks or tuna. It is particularly delicious when allowed to marinate in sauce of choice in the refrigerator over night, allowing it to become saturated with the taste.<br /><br />Great in chili, chicken 'friendly' salad sandwiches, soup, enchiladas, stir-fry, and so much more.<br /><br />Suggested Instructions: boil 3 cups of your liquid of choice (such as veggie broth). Once boiling, add 1 cup tvp, and continue to boil for 5-10 minutes (longer makes it more tender and juicy). Drain, and use.<br /><br />Note: this stuff is not meant to be eaten raw.",1
52,"I have a subscription to this product because it's so good, and you can't beat the price. The powder easily mixes into anything. It has a full, rich flavor with no additives or fillers and it's raw. My favorite way to use it is to mix it into coconut oil and agave, with a little extract like peppermint, orange, or lemon. It makes a lovely chocolate sauce that hardens on contact when it touches something frozen. I add the sauce to banana icecream, which is made from frozen bananas which I run through my juicer machine with the blank plate to make raw soft serve. It's a wonderful, raw healthy treat that I sometimes have in place of a meal. Go ahead and subscribe and get Amazon prime. It's totally worth it for this cacao powder.",1
53,"It smells bland and tastes just plain bad. I regularly eat unsweetened and unflavored rolled oats but was unprepared for how bad these tasted. The raisins were old and dry and there seems to be sand-like stuff in there. I had to be careful when I bit down because I could never be sure when there's sand in the bite It took.<br /><br />I depend on the feedback that Amazon buyers give on products, but wow, the feedback sure are off the mark on this product. A solid 5 stars from 72 reviews on this product? Maybe someone's stuff the polls on this one.",0
54,"The AeroGarden had been so fun to use, and the Salad Chef Pack is especially gratifying in that I can just pluck a few leaves and put it on a sandwich or make a small salad.  The grandkids think this is just the best idea ever.  I purchased the AeroGarden for my father who has been a gardener for years.  He still loves the outdoor activity of his garden (at 92) but is having a good time with this as well.  He shows his great granddaughters how it works, shows them when the plants start growing, has them help harvest, and makes tasty treats for them.  Now, how much more fun could you want?",1
